station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m [degF],temp_9m [degF],apparent_temperature [degF],relative_humidity [percent],dewpoint [degF],precip_incremental [inch],precip_local [inch],precip_max_intensity [inch/hour],precip_1hr [inch],avg_wind_speed_prop [mile/hr],max_wind_speed_prop [mile/hr],wind_speed_stddev_prop [mile/hr],wind_direction_prop [degrees],wind_direction_stddev_prop [degrees],avg_wind_speed_sonic [mile/hr],max_wind_speed_sonic [mile/hr],wind_speed_stddev_sonic [mile/hr],wind_direction_sonic [degrees],wind_direction_stddev_sonic [degrees],avg_wind_speed_merge [mile/hr],max_wind_speed_merge [mile/hr],wind_speed_stddev_merge [mile/hr],wind_direction_merge [degrees],wind_direction_stddev_merge [degrees],solar_insolation [W/m^2],station_pressure [inHg],snow_depth,frozen_soil_05cm,frozen_soil_25cm,frozen_soil_50cm,soil_temp_05cm,soil_temp_25cm,soil_temp_50cm,soil_moisture_05cm,soil_moisture_25cm,soil_moisture_50cm
SCHU,2015-09-19 00:00:00 EDT,43.11700,-73.57829,103,59.3,60.7,59.3,98.8,59.0,0.000,0.000,0.00,0.000,0.3,0.9,0.3,157,0,0.8,1.3,0.3,147,14,0.3,0.9,0.3,157,0,0,29.86,,,,,,,,,,
SCHU,2015-09-19 00:05:00 EDT,43.11700,-73.57829,103,59.3,60.6,59.3,98.9,59.0,0.000,0.000,0.00,0.000,0.9,1.7,0.4,155,5,1.4,7.4,0.7,131,10,0.9,1.7,0.4,155,5,0,29.86,,,,,,,,,,
SCHU,2015-09-19 00:10:00 EDT,43.11700,-73.57829,103,59.3,60.6,59.3,98.9,59.0,0.000,0.000,0.00,0.000,1.5,2.0,0.2,134,10,1.8,4.0,0.3,130,10,1.5,2.0,0.2,134,10,0,29.86,,,,,,,,,,
SCHU,2015-09-19 00:15:00 EDT,43.11700,-73.57829,103,58.6,60.5,58.6,98.8,58.2,0.000,0.000,0.00,0.000,0.8,1.3,0.3,160,12,1.3,1.8,0.2,169,14,0.8,1.3,0.3,160,12,0,29.85,,,,,,,,,,
SCHU,2015-09-19 00:20:00 EDT,43.11700,-73.57829,103,59.5,60.6,59.5,99.2,59.2,0.000,0.000,0.00,0.000,0.2,0.9,0.3,155,16,0.7,1.6,0.3,121,43,0.2,0.9,0.3,155,16,0,29.85,,,,,,,,,,
SCHU,2015-09-19 00:25:00 EDT,43.11700,-73.57829,103,59.6,60.7,59.6,99.1,59.3,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.7,1.1,0.2,199,30,0.0,0.0,0.0,0,0,0,29.85,,,,,,,,,,
SCHU,2015-09-19 00:30:00 EDT,43.11700,-73.57829,103,59.6,60.6,59.6,99.1,59.3,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.4,2.7,0.3,146,50,0.0,0.0,0.0,0,0,0,29.85,,,,,,,,,,
SCHU,2015-09-19 00:35:00 EDT,43.11700,-73.57829,103,59.5,60.5,59.5,99.1,59.3,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.3,1.3,0.2,143,49,0.0,0.0,0.0,0,0,0,29.85,,,,,,,,,,
SCHU,2015-09-19 00:40:00 EDT,43.11700,-73.57829,103,59.5,60.4,59.5,99.1,59.2,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.6,1.3,0.3,107,19,0.0,0.0,0.0,0,0,0,29.85,,,,,,,,,,
SCHU,2015-09-19 00:45:00 EDT,43.11700,-73.57829,103,59.3,60.3,59.3,99.1,59.0,0.000,0.000,0.00,0.000,0.0,0.0,0.0,0,0,0.6,1.3,0.2,109,35,0.0,0.0,0.0,0,0,0,29.84,,,,,,,,,,
