"Time Stamp","Time Zone","Name","PTID","Load"
"08/25/2001 00:00:00","EDT","CAPITL",61757,1070
"08/25/2001 00:00:00","EDT","CENTRL",61754,1522
"08/25/2001 00:00:00","EDT","DUNWOD",61760,584
"08/25/2001 00:00:00","EDT","GENESE",61753,920
"08/25/2001 00:00:00","EDT","HUD VL",61758,1118
"08/25/2001 00:00:00","EDT","MHK VL",61756,691
"08/25/2001 00:00:00","EDT","MILLWD",61759,201
"08/25/2001 00:00:00","EDT","N.Y.C._LONGIL",,8584
"08/25/2001 00:00:00","EDT","NORTH",61755,642
"08/25/2001 00:00:00","EDT","WEST",61752,1700
"08/25/2001 00:00:39","EDT","CAPITL",61757,1111
"08/25/2001 00:00:39","EDT","CENTRL",61754,1512
"08/25/2001 00:00:39","EDT","DUNWOD",61760,581
"08/25/2001 00:00:39","EDT","GENESE",61753,913
"08/25/2001 00:00:39","EDT","HUD VL",61758,1128
"08/25/2001 00:00:39","EDT","MHK VL",61756,704
"08/25/2001 00:00:39","EDT","MILLWD",61759,197
"08/25/2001 00:00:39","EDT","N.Y.C._LONGIL",,8553
"08/25/2001 00:00:39","EDT","NORTH",61755,647
"08/25/2001 00:00:39","EDT","WEST",61752,1721
"08/25/2001 00:01:39","EDT","CAPITL",61757,1105
"08/25/2001 00:01:39","EDT","CENTRL",61754,1519
"08/25/2001 00:01:39","EDT","DUNWOD",61760,587
"08/25/2001 00:01:39","EDT","GENESE",61753,906
"08/25/2001 00:01:39","EDT","HUD VL",61758,1093
"08/25/2001 00:01:39","EDT","MHK VL",61756,689
"08/25/2001 00:01:39","EDT","MILLWD",61759,200
"08/25/2001 00:01:39","EDT","N.Y.C._LONGIL",,8504
"08/25/2001 00:01:39","EDT","NORTH",61755,625
"08/25/2001 00:01:39","EDT","WEST",61752,1695
"08/25/2001 00:06:09","EDT","CAPITL",61757,1095
"08/25/2001 00:06:09","EDT","CENTRL",61754,1491
"08/25/2001 00:06:09","EDT","DUNWOD",61760,577
"08/25/2001 00:06:09","EDT","GENESE",61753,903
"08/25/2001 00:06:09","EDT","HUD VL",61758,1084
"08/25/2001 00:06:09","EDT","MHK VL",61756,680
"08/25/2001 00:06:09","EDT","MILLWD",61759,204
"08/25/2001 00:06:09","EDT","N.Y.C._LONGIL",,8444
"08/25/2001 00:06:09","EDT","NORTH",61755,652
"08/25/2001 00:06:09","EDT","WEST",61752,1683
"08/25/2001 00:11:15","EDT","CAPITL",61757,1082
"08/25/2001 00:11:15","EDT","CENTRL",61754,1496
"08/25/2001 00:11:15","EDT","DUNWOD",61760,579
"08/25/2001 00:11:15","EDT","GENESE",61753,899
"08/25/2001 00:11:15","EDT","HUD VL",61758,1082
"08/25/2001 00:11:15","EDT","MHK VL",61756,673
"08/25/2001 00:11:15","EDT","MILLWD",61759,212
"08/25/2001 00:11:15","EDT","N.Y.C._LONGIL",,8444
"08/25/2001 00:11:15","EDT","NORTH",61755,660
"08/25/2001 00:11:15","EDT","WEST",61752,1696
"08/25/2001 00:12:39","EDT","CAPITL",61757,1081
"08/25/2001 00:12:39","EDT","CENTRL",61754,1509
"08/25/2001 00:12:39","EDT","DUNWOD",61760,578
"08/25/2001 00:12:39","EDT","GENESE",61753,893
"08/25/2001 00:12:39","EDT","HUD VL",61758,1077
"08/25/2001 00:12:39","EDT","MHK VL",61756,659
"08/25/2001 00:12:39","EDT","MILLWD",61759,211
"08/25/2001 00:12:39","EDT","N.Y.C._LONGIL",,8427
"08/25/2001 00:12:39","EDT","NORTH",61755,653
"08/25/2001 00:12:39","EDT","WEST",61752,1687
"08/25/2001 00:14:09","EDT","CAPITL",61757,1068
"08/25/2001 00:14:09","EDT","CENTRL",61754,1508
"08/25/2001 00:14:09","EDT","DUNWOD",61760,572
"08/25/2001 00:14:09","EDT","GENESE",61753,889
"08/25/2001 00:14:09","EDT","HUD VL",61758,1068
"08/25/2001 00:14:09","EDT","MHK VL",61756,663
"08/25/2001 00:14:09","EDT","MILLWD",61759,220
"08/25/2001 00:14:09","EDT","N.Y.C._LONGIL",,8395
"08/25/2001 00:14:09","EDT","NORTH",61755,657
"08/25/2001 00:14:09","EDT","WEST",61752,1681
"08/25/2001 00:17:09","EDT","CAPITL",61757,1065
"08/25/2001 00:17:09","EDT","CENTRL",61754,1495
"08/25/2001 00:17:09","EDT","DUNWOD",61760,574
"08/25/2001 00:17:09","EDT","GENESE",61753,892
"08/25/2001 00:17:09","EDT","HUD VL",61758,1073
"08/25/2001 00:17:09","EDT","MHK VL",61756,672
