Time Stamp,total_load
2023-01-01,4286329.3433
2023-01-02,4532788.2308
2023-01-03,4967196.6016999995
2023-01-04,4797925.683
2023-01-05,4795041.5016
2023-01-06,4934101.7343
2023-01-07,4739085.0625
2023-01-08,4728093.3952
2023-01-09,5059256.7686
2023-01-10,5365530.2296
2023-01-11,5350809.4306
2023-01-12,5104202.4832
2023-01-13,5027825.1385
2023-01-14,5201085.3714
2023-01-15,5129195.004
2023-01-16,5125274.2862
2023-01-17,5248419.8367
2023-01-18,4942144.3829
2023-01-19,5242873.1095
2023-01-20,4954980.7965
2023-01-21,4814683.4144
2023-01-22,4757174.0161
2023-01-23,5280751.5815
2023-01-24,5225648.1245
2023-01-25,5299498.7612
2023-01-26,5129837.8047
2023-01-27,5195539.6161
2023-01-28,4810238.9933
2023-01-29,4644391.9472
2023-01-30,5056606.7516
2023-01-31,5317939.8485
2023-02-01,5537274.5675
2023-02-02,5597607.7544
2023-02-03,6278008.0657
2023-02-04,5890290.0253
2023-02-05,5368339.9681
2023-02-06,5474654.9521
2023-02-07,5748614.5154
2023-02-08,4962373.6513
2023-02-09,5081575.6293
2023-02-10,4804212.6933
2023-02-11,4755087.3335
2023-02-12,4605727.0899
2023-02-13,4886834.7184
2023-02-14,4791712.2185
2023-02-15,4760116.9873
2023-02-16,4709182.8554
2023-02-17,4925212.4819
2023-02-18,4596798.0644
2023-02-19,4491395.459
2023-02-20,4534657.688
2023-02-21,4841128.0404
2023-02-22,5056893.3367
2023-02-23,5085093.8433
2023-02-24,5032026.1166
2023-02-25,5253646.7602
2023-02-26,4971422.3167
2023-02-27,5142505.0069
2023-02-28,5474978.7662
2023-03-01,5146025.1563
2023-03-02,4934815.95
2023-03-03,4821859.4972
2023-03-04,4645542.6842
2023-03-05,4475591.036
2023-03-06,4790250.1206
2023-03-07,4981341.9549
2023-03-08,4918292.8304
2023-03-09,4954888.6577
2023-03-10,4887557.9455
2023-03-11,4757974.5044
2023-03-12,4411883.0201
2023-03-13,4982985.8257
2023-03-14,5190739.1024
2023-03-15,5177334.6565
2023-03-16,4882429.1821
2023-03-17,4722642.6763
2023-03-18,4394750.6075
2023-03-19,4571381.6059
2023-03-20,4917731.6863
2023-03-21,4635501.4499
2023-03-22,4547151.4067
2023-03-23,5016473.5533
2023-03-24,4573962.9305
2023-03-25,4766534.3249
2023-03-26,4120112.4306
2023-03-27,4603671.7846
2023-03-28,4711494.7814
2023-03-29,4756217.964
2023-03-30,4918469.38
2023-03-31,4892660.1127
2023-04-01,4174430.7903
2023-04-02,4094282.3302
2023-04-03,4596415.4569
2023-04-04,4419905.2526
2023-04-05,4637946.9154
2023-04-06,4409255.0285
2023-04-07,4275772.4448
2023-04-08,4000286.0002
2023-04-09,3825097.3117
2023-04-10,4139196.2208
2023-04-11,4373128.9319
2023-04-12,4243551.6496
2023-04-13,4827545.09
2023-04-14,4771816.3599
2023-04-15,4374708.2149
2023-04-16,4101837.1536
2023-04-17,4774392.402
2023-04-18,4537936.833
2023-04-19,4611327.0227
2023-04-20,4298436.5
2023-04-21,4251227.6486
2023-04-22,3954923.3807
2023-04-23,3949258.7423
2023-04-24,4237433.5745
2023-04-25,4357230.3625
2023-04-26,4366889.8057
2023-04-27,4302058.4193
2023-04-28,4249878.2701
2023-04-29,4230172.7298
2023-04-30,4150508.9184
2023-05-01,4611267.9309
2023-05-02,4501306.1836
2023-05-03,4416690.5885
2023-05-04,4468747.2926
2023-05-05,4310200.5833
2023-05-06,3895125.2401
2023-05-07,3940323.8925
2023-05-08,4265447.7656
2023-05-09,4227804.8997
2023-05-10,4424552.4698
2023-05-11,4353193.1754
2023-05-12,4645862.2508
2023-05-13,4394880.9621
2023-05-14,3971983.3013999998
2023-05-15,4564279.3822
2023-05-16,4732366.2659
2023-05-17,4217653.2986
2023-05-18,4171029.2881
2023-05-19,4461512.4157
2023-05-20,4114323.1904
2023-05-21,3937978.0114
2023-05-22,4373149.3465
2023-05-23,4337648.9456
2023-05-24,4344191.5885
2023-05-25,4164657.8303
2023-05-26,4133710.5028
2023-05-27,3986395.8694
2023-05-28,3974973.6879
2023-05-29,4194827.8619
2023-05-30,4578539.0915
2023-05-31,4769318.8525
2023-06-01,5262321.4423
