"Time Stamp","Time Zone","Name","PTID","Load"
"09/19/2025 00:00:00","EDT","CAPITL",61757,1255.8394
"09/19/2025 00:00:00","EDT","CENTRL",61754,1432.6079
"09/19/2025 00:00:00","EDT","DUNWOD",61760,617.0068
"09/19/2025 00:00:00","EDT","GENESE",61753,1019.807
"09/19/2025 00:00:00","EDT","HUD VL",61758,989.9001
"09/19/2025 00:00:00","EDT","LONGIL",61762,2280.4993
"09/19/2025 00:00:00","EDT","MHK VL",61756,749.3323
"09/19/2025 00:00:00","EDT","MILLWD",61759,225.403
"09/19/2025 00:00:00","EDT","N.Y.C.",61761,5572.888
"09/19/2025 00:00:00","EDT","NORTH",61755,508.7601
"09/19/2025 00:00:00","EDT","WEST",61752,1569.948
"09/19/2025 00:05:00","EDT","CAPITL",61757,1235.7937
"09/19/2025 00:05:00","EDT","CENTRL",61754,1413.6871
"09/19/2025 00:05:00","EDT","DUNWOD",61760,611.869
"09/19/2025 00:05:00","EDT","GENESE",61753,1013.5377
"09/19/2025 00:05:00","EDT","HUD VL",61758,961.212
"09/19/2025 00:05:00","EDT","LONGIL",61762,2259.452
"09/19/2025 00:05:00","EDT","MHK VL",61756,725.2509
"09/19/2025 00:05:00","EDT","MILLWD",61759,227.1594
"09/19/2025 00:05:00","EDT","N.Y.C.",61761,5516.3354
"09/19/2025 00:05:00","EDT","NORTH",61755,509.85
"09/19/2025 00:05:00","EDT","WEST",61752,1570.9417
"09/19/2025 00:10:00","EDT","CAPITL",61757,1204.6499
"09/19/2025 00:10:00","EDT","CENTRL",61754,1442.3921
"09/19/2025 00:10:00","EDT","DUNWOD",61760,615.0975
"09/19/2025 00:10:00","EDT","GENESE",61753,1022.8528
"09/19/2025 00:10:00","EDT","HUD VL",61758,992.6051
"09/19/2025 00:10:00","EDT","LONGIL",61762,2250.1853
"09/19/2025 00:10:00","EDT","MHK VL",61756,699.106
"09/19/2025 00:10:00","EDT","MILLWD",61759,248.7796
"09/19/2025 00:10:00","EDT","N.Y.C.",61761,5500.879
"09/19/2025 00:10:00","EDT","NORTH",61755,529.4052
"09/19/2025 00:10:00","EDT","WEST",61752,1542.2361
"09/19/2025 00:15:00","EDT","CAPITL",61757,1221.9421
"09/19/2025 00:15:00","EDT","CENTRL",61754,1419.3054
"09/19/2025 00:15:00","EDT","DUNWOD",61760,622.5964
"09/19/2025 00:15:00","EDT","GENESE",61753,1003.7883
"09/19/2025 00:15:00","EDT","HUD VL",61758,972.603
"09/19/2025 00:15:00","EDT","LONGIL",61762,2230.0122
"09/19/2025 00:15:00","EDT","MHK VL",61756,693.6991
"09/19/2025 00:15:00","EDT","MILLWD",61759,239.2618
"09/19/2025 00:15:00","EDT","N.Y.C.",61761,5484.6533
"09/19/2025 00:15:00","EDT","NORTH",61755,555.729
"09/19/2025 00:15:00","EDT","WEST",61752,1557.1858
"09/19/2025 00:20:00","EDT","CAPITL",61757,1214.2102
"09/19/2025 00:20:00","EDT","CENTRL",61754,1421.8137
"09/19/2025 00:20:00","EDT","DUNWOD",61760,604.1318
"09/19/2025 00:20:00","EDT","GENESE",61753,1001.3831
"09/19/2025 00:20:00","EDT","HUD VL",61758,972.2748
"09/19/2025 00:20:00","EDT","LONGIL",61762,2221.5586
"09/19/2025 00:20:00","EDT","MHK VL",61756,697.299
"09/19/2025 00:20:00","EDT","MILLWD",61759,236.645
"09/19/2025 00:20:00","EDT","N.Y.C.",61761,5474.878
"09/19/2025 00:20:00","EDT","NORTH",61755,558.3413
"09/19/2025 00:20:00","EDT","WEST",61752,1548.611
"09/19/2025 00:25:00","EDT","CAPITL",61757,1204.9049
"09/19/2025 00:25:00","EDT","CENTRL",61754,1419.2815
"09/19/2025 00:25:00","EDT","DUNWOD",61760,600.1802
"09/19/2025 00:25:00","EDT","GENESE",61753,990.7098
"09/19/2025 00:25:00","EDT","HUD VL",61758,963.0053
"09/19/2025 00:25:00","EDT","LONGIL",61762,2214.8267
"09/19/2025 00:25:00","EDT","MHK VL",61756,701.4713
"09/19/2025 00:25:00","EDT","MILLWD",61759,234.2686
"09/19/2025 00:25:00","EDT","N.Y.C.",61761,5438.91
"09/19/2025 00:25:00","EDT","NORTH",61755,551.8276
"09/19/2025 00:25:00","EDT","WEST",61752,1540.362
"09/19/2025 00:30:00","EDT","CAPITL",61757,1226.7473
"09/19/2025 00:30:00","EDT","CENTRL",61754,1408.072
"09/19/2025 00:30:00","EDT","DUNWOD",61760,604.9018
"09/19/2025 00:30:00","EDT","GENESE",61753,986.2935
"09/19/2025 00:30:00","EDT","HUD VL",61758,944.0212
"09/19/2025 00:30:00","EDT","LONGIL",61762,2197.2144
"09/19/2025 00:30:00","EDT","MHK VL",61756,693.7372
"09/19/2025 00:30:00","EDT","MILLWD",61759,229.7883
"09/19/2025 00:30:00","EDT","N.Y.C.",61761,5386.631
"09/19/2025 00:30:00","EDT","NORTH",61755,552.4426
"09/19/2025 00:30:00","EDT","WEST",61752,1530.475
"09/19/2025 00:35:00","EDT","CAPITL",61757,1198.9293
"09/19/2025 00:35:00","EDT","CENTRL",61754,1413.418
"09/19/2025 00:35:00","EDT","DUNWOD",61760,612.0222
"09/19/2025 00:35:00","EDT","GENESE",61753,979.8467
"09/19/2025 00:35:00","EDT","HUD VL",61758,956.1679
"09/19/2025 00:35:00","EDT","LONGIL",61762,2176.693
"09/19/2025 00:35:00","EDT","MHK VL",61756,681.6093
"09/19/2025 00:35:00","EDT","MILLWD",61759,215.8299
"09/19/2025 00:35:00","EDT","N.Y.C.",61761,5362.5713
"09/19/2025 00:35:00","EDT","NORTH",61755,553.4838
"09/19/2025 00:35:00","EDT","WEST",61752,1526.2249
"09/19/2025 00:40:00","EDT","CAPITL",61757,1195.1938
"09/19/2025 00:40:00","EDT","CENTRL",61754,1397.3505
"09/19/2025 00:40:00","EDT","DUNWOD",61760,601.1909
"09/19/2025 00:40:00","EDT","GENESE",61753,985.1826
"09/19/2025 00:40:00","EDT","HUD VL",61758,961.18
"09/19/2025 00:40:00","EDT","LONGIL",61762,2168.2788
"09/19/2025 00:40:00","EDT","MHK VL",61756,684.9331
"09/19/2025 00:40:00","EDT","MILLWD",61759,223.7675
"09/19/2025 00:40:00","EDT","N.Y.C.",61761,5345.917
"09/19/2025 00:40:00","EDT","NORTH",61755,554.7339
"09/19/2025 00:40:00","EDT","WEST",61752,1527.7375
"09/19/2025 00:45:00","EDT","CAPITL",61757,1209.5535
"09/19/2025 00:45:00","EDT","CENTRL",61754,1393.2919
"09/19/2025 00:45:00","EDT","DUNWOD",61760,590.0743
"09/19/2025 00:45:00","EDT","GENESE",61753,977.702
"09/19/2025 00:45:00","EDT","HUD VL",61758,942.5638
"09/19/2025 00:45:00","EDT","LONGIL",61762,2155.2002
"09/19/2025 00:45:00","EDT","MHK VL",61756,701.8586
