"Time Stamp","Time Zone","Name","PTID","Load"
"09/21/2001 00:00:00","EDT","CAPITL",61757,1071
"09/21/2001 00:00:00","EDT","CENTRL",61754,1520
"09/21/2001 00:00:00","EDT","DUNWOD",61760,550
"09/21/2001 00:00:00","EDT","GENESE",61753,900
"09/21/2001 00:00:00","EDT","HUD VL",61758,1027
"09/21/2001 00:00:00","EDT","MHK VL",61756,661
"09/21/2001 00:00:00","EDT","MILLWD",61759,148
"09/21/2001 00:00:00","EDT","N.Y.C._LONGIL",,7214
"09/21/2001 00:00:00","EDT","NORTH",61755,653
"09/21/2001 00:00:00","EDT","WEST",61752,1677
"09/21/2001 00:00:47","EDT","CAPITL",61757,1062
"09/21/2001 00:00:47","EDT","CENTRL",61754,1493
"09/21/2001 00:00:47","EDT","DUNWOD",61760,551
"09/21/2001 00:00:47","EDT","GENESE",61753,896
"09/21/2001 00:00:47","EDT","HUD VL",61758,1032
"09/21/2001 00:00:47","EDT","MHK VL",61756,648
"09/21/2001 00:00:47","EDT","MILLWD",61759,141
"09/21/2001 00:00:47","EDT","N.Y.C._LONGIL",,7158
"09/21/2001 00:00:47","EDT","NORTH",61755,673
"09/21/2001 00:00:47","EDT","WEST",61752,1655
"09/21/2001 00:05:17","EDT","CAPITL",61757,1073
"09/21/2001 00:05:17","EDT","CENTRL",61754,1499
"09/21/2001 00:05:17","EDT","DUNWOD",61760,540
"09/21/2001 00:05:17","EDT","GENESE",61753,892
"09/21/2001 00:05:17","EDT","HUD VL",61758,1033
"09/21/2001 00:05:17","EDT","MHK VL",61756,639
"09/21/2001 00:05:17","EDT","MILLWD",61759,137
"09/21/2001 00:05:17","EDT","N.Y.C._LONGIL",,7141
"09/21/2001 00:05:17","EDT","NORTH",61755,674
"09/21/2001 00:05:17","EDT","WEST",61752,1650
"09/21/2001 00:06:47","EDT","CAPITL",61757,1044
"09/21/2001 00:06:47","EDT","CENTRL",61754,1486
"09/21/2001 00:06:47","EDT","DUNWOD",61760,544
"09/21/2001 00:06:47","EDT","GENESE",61753,885
"09/21/2001 00:06:47","EDT","HUD VL",61758,1017
"09/21/2001 00:06:47","EDT","MHK VL",61756,643
"09/21/2001 00:06:47","EDT","MILLWD",61759,138
"09/21/2001 00:06:47","EDT","N.Y.C._LONGIL",,7093
"09/21/2001 00:06:47","EDT","NORTH",61755,682
"09/21/2001 00:06:47","EDT","WEST",61752,1652
"09/21/2001 00:11:47","EDT","CAPITL",61757,1056
"09/21/2001 00:11:47","EDT","CENTRL",61754,1470
"09/21/2001 00:11:47","EDT","DUNWOD",61760,538
"09/21/2001 00:11:47","EDT","GENESE",61753,880
"09/21/2001 00:11:47","EDT","HUD VL",61758,1021
"09/21/2001 00:11:47","EDT","MHK VL",61756,656
"09/21/2001 00:11:47","EDT","MILLWD",61759,133
"09/21/2001 00:11:47","EDT","N.Y.C._LONGIL",,7021
"09/21/2001 00:11:47","EDT","NORTH",61755,659
"09/21/2001 00:11:47","EDT","WEST",61752,1600
"09/21/2001 00:16:47","EDT","CAPITL",61757,1041
"09/21/2001 00:16:47","EDT","CENTRL",61754,1458
"09/21/2001 00:16:47","EDT","DUNWOD",61760,510
"09/21/2001 00:16:47","EDT","GENESE",61753,886
"09/21/2001 00:16:47","EDT","HUD VL",61758,998
"09/21/2001 00:16:47","EDT","MHK VL",61756,651
"09/21/2001 00:16:47","EDT","MILLWD",61759,137
"09/21/2001 00:16:47","EDT","N.Y.C._LONGIL",,7044
"09/21/2001 00:16:47","EDT","NORTH",61755,675
"09/21/2001 00:16:47","EDT","WEST",61752,1636
"09/21/2001 00:18:17","EDT","CAPITL",61757,1054
"09/21/2001 00:18:17","EDT","CENTRL",61754,1488
"09/21/2001 00:18:17","EDT","DUNWOD",61760,514
"09/21/2001 00:18:17","EDT","GENESE",61753,880
"09/21/2001 00:18:17","EDT","HUD VL",61758,997
"09/21/2001 00:18:17","EDT","MHK VL",61756,644
"09/21/2001 00:18:17","EDT","MILLWD",61759,129
"09/21/2001 00:18:17","EDT","N.Y.C._LONGIL",,6946
"09/21/2001 00:18:17","EDT","NORTH",61755,663
"09/21/2001 00:18:17","EDT","WEST",61752,1610
"09/21/2001 00:23:17","EDT","CAPITL",61757,1053
"09/21/2001 00:23:17","EDT","CENTRL",61754,1477
"09/21/2001 00:23:17","EDT","DUNWOD",61760,494
"09/21/2001 00:23:17","EDT","GENESE",61753,877
"09/21/2001 00:23:17","EDT","HUD VL",61758,979
"09/21/2001 00:23:17","EDT","MHK VL",61756,639
"09/21/2001 00:23:17","EDT","MILLWD",61759,133
"09/21/2001 00:23:17","EDT","N.Y.C._LONGIL",,6893
"09/21/2001 00:23:17","EDT","NORTH",61755,681
"09/21/2001 00:23:17","EDT","WEST",61752,1613
"09/21/2001 00:26:17","EDT","CAPITL",61757,1030
"09/21/2001 00:26:17","EDT","CENTRL",61754,1476
"09/21/2001 00:26:17","EDT","DUNWOD",61760,498
"09/21/2001 00:26:17","EDT","GENESE",61753,876
"09/21/2001 00:26:17","EDT","HUD VL",61758,965
"09/21/2001 00:26:17","EDT","MHK VL",61756,632
"09/21/2001 00:26:17","EDT","MILLWD",61759,129
"09/21/2001 00:26:17","EDT","N.Y.C._LONGIL",,6863
"09/21/2001 00:26:17","EDT","NORTH",61755,684
"09/21/2001 00:26:17","EDT","WEST",61752,1618
"09/21/2001 00:31:17","EDT","CAPITL",61757,1030
"09/21/2001 00:31:17","EDT","CENTRL",61754,1477
"09/21/2001 00:31:17","EDT","DUNWOD",61760,490
"09/21/2001 00:31:17","EDT","GENESE",61753,866
"09/21/2001 00:31:17","EDT","HUD VL",61758,974
"09/21/2001 00:31:17","EDT","MHK VL",61756,634
"09/21/2001 00:31:17","EDT","MILLWD",61759,129
"09/21/2001 00:31:17","EDT","N.Y.C._LONGIL",,6838
"09/21/2001 00:31:17","EDT","NORTH",61755,671
"09/21/2001 00:31:17","EDT","WEST",61752,1609
"09/21/2001 00:36:17","EDT","CAPITL",61757,1046
"09/21/2001 00:36:17","EDT","CENTRL",61754,1470
"09/21/2001 00:36:17","EDT","DUNWOD",61760,490
"09/21/2001 00:36:17","EDT","GENESE",61753,855
"09/21/2001 00:36:17","EDT","HUD VL",61758,969
"09/21/2001 00:36:17","EDT","MHK VL",61756,640
"09/21/2001 00:36:17","EDT","MILLWD",61759,133
"09/21/2001 00:36:17","EDT","N.Y.C._LONGIL",,6802
"09/21/2001 00:36:17","EDT","NORTH",61755,659
"09/21/2001 00:36:17","EDT","WEST",61752,1583
"09/21/2001 00:41:17","EDT","CAPITL",61757,1045
"09/21/2001 00:41:17","EDT","CENTRL",61754,1431
"09/21/2001 00:41:17","EDT","DUNWOD",61760,497
"09/21/2001 00:41:17","EDT","GENESE",61753,861
"09/21/2001 00:41:17","EDT","HUD VL",61758,954
"09/21/2001 00:41:17","EDT","MHK VL",61756,642
"09/21/2001 00:41:17","EDT","MILLWD",61759,127
"09/21/2001 00:41:17","EDT","N.Y.C._LONGIL",,6790
"09/21/2001 00:41:17","EDT","NORTH",61755,679
"09/21/2001 00:41:17","EDT","WEST",61752,1594
"09/21/2001 00:46:17","EDT","CAPITL",61757,1034
"09/21/2001 00:46:17","EDT","CENTRL",61754,1441
"09/21/2001 00:46:17","EDT","DUNWOD",61760,501
